Campaign,Ad Group,Keyword,Match type,Status
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,photo radar calgary,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,photo radar calgary,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,photo radar ticket calgary,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,photo radar ticket calgary,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,fight photo radar ticket calgary,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,fight photo radar ticket calgary,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,red light camera calgary,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,red light camera calgary,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,red light camera ticket calgary,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,red light camera ticket calgary,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,fight red light camera ticket calgary,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,fight red light camera ticket calgary,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,intersection safety camera calgary,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,intersection safety camera calgary,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,intersection safety camera ticket calgary,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,intersection safety camera ticket calgary,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,owner of motor vehicle ticket calgary,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,owner of motor vehicle ticket calgary,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,owner of motor vehicle involved in ticket calgary,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG1-Calgary-Camera-Tickets,owner of motor vehicle involved in ticket calgary,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG2-Edmonton-Camera-Tickets,photo radar edmonton,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG2-Edmonton-Camera-Tickets,photo radar edmonton,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG2-Edmonton-Camera-Tickets,photo radar ticket edmonton,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG2-Edmonton-Camera-Tickets,photo radar ticket edmonton,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG2-Edmonton-Camera-Tickets,fight photo radar ticket edmonton,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG2-Edmonton-Camera-Tickets,fight photo radar ticket edmonton,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG2-Edmonton-Camera-Tickets,red light camera edmonton,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG2-Edmonton-Camera-Tickets,red light camera edmonton,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG2-Edmonton-Camera-Tickets,red light camera ticket edmonton,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG2-Edmonton-Camera-Tickets,red light camera ticket edmonton,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG2-Edmonton-Camera-Tickets,fight red light camera ticket edmonton,Exact,Paused
ATE-Photo-Radar-Alberta-20260831,AG2-Edmonton-Camera-Tickets,fight red light camera ticket edmonton,Phrase,Paused
ATE-Photo-Radar-Alberta-20260831,AG2-Edmonton-Camera-Tickets,intersection safety camera edmonton,Exact,Paused
