url,possible_merge_target,gsc_clicks,gsc_impressions,index_status,review_queries,google_selected_canonical_in_url_inspection,review_backlinks,review_conversions,review_unique_facts,destination_fit,final_decision,rollback
https://fabsy.ca/content/careless-driving-ticket-edmonton-new-driver,/content/careless-driving-ticket-alberta,0,9,discovered_not_indexed,careless driving ticket edmonton | dangerous driving tickets edmonton | careless driving,not_inspected,0 incoming links in rendered snapshot corpus; GSC Links sitewide 0 external; URL-level third-party backlinks unverified,0 matching public requests since all-source collection began 2026-09-21 17:34 MDT; no GA4 page row in last 28d; historical conversions unknown,Rendered fallback body repeats same deadline/intake/service text; city and scenario appear in heading but no scenario-specific evidence or local legal fact,Curated province-wide guide covers the same offence and response process; fallback has no distinct scenario answer,301_CANDIDATE_AFTER_PILOT_AND_QUALIFIED_REVIEW,For eventual 301: remove route policy and regenerate sitemap. For eventual 410: remove gone policy and regenerate sitemap. Source record/snapshot retained.
https://fabsy.ca/content/red-light-ticket-calgary-commercial-driver,/content/red-light-ticket-alberta,0,9,discovered_not_indexed,GSC page has impressions; query table withheld/no data,not_inspected,0 incoming links in rendered snapshot corpus; GSC Links sitewide 0 external; URL-level third-party backlinks unverified,0 matching public requests since all-source collection began 2026-09-21 17:34 MDT; no GA4 page row in last 28d; historical conversions unknown,Rendered fallback body repeats same deadline/intake/service text; city and scenario appear in heading but no scenario-specific evidence or local legal fact,Province-wide red-light guide lacks commercial-driver-specific consequences,HOLD_UNTIL_COMMERCIAL_DRIVER_TARGET_COVERS_INTENT,For eventual 301: remove route policy and regenerate sitemap. For eventual 410: remove gone policy and regenerate sitemap. Source record/snapshot retained.
https://fabsy.ca/content/red-light-ticket-lethbridge-first-time-offender,/content/red-light-ticket-alberta,0,8,discovered_not_indexed,GSC page has impressions; query table withheld/no data,not_inspected,0 incoming links in rendered snapshot corpus; GSC Links sitewide 0 external; URL-level third-party backlinks unverified,0 matching public requests since all-source collection began 2026-09-21 17:34 MDT; no GA4 page row in last 28d; historical conversions unknown,Rendered fallback body repeats same deadline/intake/service text; city and scenario appear in heading but no scenario-specific evidence or local legal fact,Curated province-wide guide covers the same offence and response process; fallback has no distinct scenario answer,301_CANDIDATE_AFTER_PILOT_AND_QUALIFIED_REVIEW,For eventual 301: remove route policy and regenerate sitemap. For eventual 410: remove gone policy and regenerate sitemap. Source record/snapshot retained.
https://fabsy.ca/content/red-light-ticket-red-deer-officer-error,/content/red-light-ticket-alberta,0,8,google_chose_other_canonical,GSC page has impressions; query table withheld/no data,/content/fight-careless-ticket-red-deer,0 incoming links in rendered snapshot corpus; GSC Links sitewide 0 external; URL-level third-party backlinks unverified,0 matching public requests since all-source collection began 2026-09-21 17:34 MDT; no GA4 page row in last 28d; historical conversions unknown,Rendered fallback body repeats same deadline/intake/service text; city and scenario appear in heading but no scenario-specific evidence or local legal fact,Curated province-wide guide covers the same offence and response process; fallback has no distinct scenario answer,301_CANDIDATE_AFTER_PILOT_AND_QUALIFIED_REVIEW,For eventual 301: remove route policy and regenerate sitemap. For eventual 410: remove gone policy and regenerate sitemap. Source record/snapshot retained.
https://fabsy.ca/content/careless-driving-ticket-red-deer-first-time-offender,/content/careless-driving-ticket-alberta,0,7,discovered_not_indexed,GSC page has impressions; query table withheld/no data,not_inspected,0 incoming links in rendered snapshot corpus; GSC Links sitewide 0 external; URL-level third-party backlinks unverified,0 matching public requests since all-source collection began 2026-09-21 17:34 MDT; no GA4 page row in last 28d; historical conversions unknown,Rendered fallback body repeats same deadline/intake/service text; city and scenario appear in heading but no scenario-specific evidence or local legal fact,Curated province-wide guide covers the same offence and response process; fallback has no distinct scenario answer,301_CANDIDATE_AFTER_PILOT_AND_QUALIFIED_REVIEW,For eventual 301: remove route policy and regenerate sitemap. For eventual 410: remove gone policy and regenerate sitemap. Source record/snapshot retained.
https://fabsy.ca/content/distracted-driving-ticket-calgary-photo-radar,/content/distracted-driving-ticket-alberta,0,7,crawled_not_indexed,GSC page has impressions; query table withheld/no data,not_inspected,0 incoming links in rendered snapshot corpus; GSC Links sitewide 0 external; URL-level third-party backlinks unverified,0 matching public requests since all-source collection began 2026-09-21 17:34 MDT; no GA4 page row in last 28d; historical conversions unknown,Rendered fallback body repeats same deadline/intake/service text; city and scenario appear in heading but no scenario-specific evidence or local legal fact,No honest same-intent destination yet; current URL promises a distracted-driving photo-radar ticket without explaining the premise,WITHDRAW_410_IMPLEMENTED_LOCAL,For eventual 301: remove route policy and regenerate sitemap. For eventual 410: remove gone policy and regenerate sitemap. Source record/snapshot retained.
https://fabsy.ca/content/distracted-driving-ticket-edmonton-first-time-offender,/content/distracted-driving-ticket-alberta,0,7,discovered_not_indexed,GSC page has impressions; query table withheld/no data,not_inspected,0 incoming links in rendered snapshot corpus; GSC Links sitewide 0 external; URL-level third-party backlinks unverified,0 matching public requests since all-source collection began 2026-09-21 17:34 MDT; no GA4 page row in last 28d; historical conversions unknown,Rendered fallback body repeats same deadline/intake/service text; city and scenario appear in heading but no scenario-specific evidence or local legal fact,Curated province-wide guide covers the same offence and response process; fallback has no distinct scenario answer,301_CANDIDATE_AFTER_PILOT_AND_QUALIFIED_REVIEW,For eventual 301: remove route policy and regenerate sitemap. For eventual 410: remove gone policy and regenerate sitemap. Source record/snapshot retained.
https://fabsy.ca/content/red-light-ticket-edmonton-commercial-driver,/content/red-light-ticket-alberta,0,7,discovered_not_indexed,GSC page has impressions; query table withheld/no data,not_inspected,0 incoming links in rendered snapshot corpus; GSC Links sitewide 0 external; URL-level third-party backlinks unverified,0 matching public requests since all-source collection began 2026-09-21 17:34 MDT; no GA4 page row in last 28d; historical conversions unknown,Rendered fallback body repeats same deadline/intake/service text; city and scenario appear in heading but no scenario-specific evidence or local legal fact,Province-wide red-light guide lacks commercial-driver-specific consequences,HOLD_UNTIL_COMMERCIAL_DRIVER_TARGET_COVERS_INTENT,For eventual 301: remove route policy and regenerate sitemap. For eventual 410: remove gone policy and regenerate sitemap. Source record/snapshot retained.
https://fabsy.ca/content/careless-driving-ticket-fort-mcmurray-first-time-offender,/content/careless-driving-ticket-alberta,0,6,google_chose_other_canonical,GSC page has impressions; query table withheld/no data,/content/stunting-ticket-fort-mcmurray,0 incoming links in rendered snapshot corpus; GSC Links sitewide 0 external; URL-level third-party backlinks unverified,0 matching public requests since all-source collection began 2026-09-21 17:34 MDT; no GA4 page row in last 28d; historical conversions unknown,Rendered fallback body repeats same deadline/intake/service text; city and scenario appear in heading but no scenario-specific evidence or local legal fact,Curated province-wide guide covers the same offence and response process; fallback has no distinct scenario answer,301_CANDIDATE_AFTER_PILOT_AND_QUALIFIED_REVIEW,For eventual 301: remove route policy and regenerate sitemap. For eventual 410: remove gone policy and regenerate sitemap. Source record/snapshot retained.
https://fabsy.ca/content/careless-driving-ticket-lethbridge-first-time-offender,/content/careless-driving-ticket-alberta,0,5,google_chose_other_canonical,prevention+ticket | careless driving,same_as_user_declared_in_inspection_conflicts_with_report,0 incoming links in rendered snapshot corpus; GSC Links sitewide 0 external; URL-level third-party backlinks unverified,0 matching public requests since all-source collection began 2026-09-21 17:34 MDT; no GA4 page row in last 28d; historical conversions unknown,Rendered fallback body repeats same deadline/intake/service text; city and scenario appear in heading but no scenario-specific evidence or local legal fact,Curated province-wide guide covers the same offence and response process; fallback has no distinct scenario answer,301_CANDIDATE_AFTER_PILOT_AND_QUALIFIED_REVIEW,For eventual 301: remove route policy and regenerate sitemap. For eventual 410: remove gone policy and regenerate sitemap. Source record/snapshot retained.
