URL	City	Offence
https://fabsy.com/content/speeding-ticket-grande-prairie	Grande Prairie	speeding
https://fabsy.com/content/red-light-ticket-grande-prairie	Grande Prairie	red-light
https://fabsy.com/content/distracted-driving-ticket-grande-prairie	Grande Prairie	distracted-driving
https://fabsy.com/content/careless-driving-ticket-grande-prairie	Grande Prairie	careless-driving
https://fabsy.com/content/seatbelt-ticket-grande-prairie	Grande Prairie	seatbelt
https://fabsy.com/content/no-insurance-ticket-grande-prairie	Grande Prairie	no-insurance
https://fabsy.com/content/fail-to-yield-ticket-grande-prairie	Grande Prairie	fail-to-yield
https://fabsy.com/content/fail-to-stop-ticket-grande-prairie	Grande Prairie	fail-to-stop
https://fabsy.com/content/following-too-close-ticket-grande-prairie	Grande Prairie	following-too-close
https://fabsy.com/content/stunting-ticket-grande-prairie	Grande Prairie	stunting
https://fabsy.com/content/speeding-ticket-spruce-grove	Spruce Grove	speeding
https://fabsy.com/content/red-light-ticket-spruce-grove	Spruce Grove	red-light
https://fabsy.com/content/distracted-driving-ticket-spruce-grove	Spruce Grove	distracted-driving
https://fabsy.com/content/careless-driving-ticket-spruce-grove	Spruce Grove	careless-driving
https://fabsy.com/content/seatbelt-ticket-spruce-grove	Spruce Grove	seatbelt
https://fabsy.com/content/no-insurance-ticket-spruce-grove	Spruce Grove	no-insurance
https://fabsy.com/content/fail-to-yield-ticket-spruce-grove	Spruce Grove	fail-to-yield
https://fabsy.com/content/fail-to-stop-ticket-spruce-grove	Spruce Grove	fail-to-stop
https://fabsy.com/content/following-too-close-ticket-spruce-grove	Spruce Grove	following-too-close
https://fabsy.com/content/stunting-ticket-spruce-grove	Spruce Grove	stunting
https://fabsy.com/content/speeding-ticket-wetaskiwin	Wetaskiwin	speeding
https://fabsy.com/content/red-light-ticket-wetaskiwin	Wetaskiwin	red-light
https://fabsy.com/content/distracted-driving-ticket-wetaskiwin	Wetaskiwin	distracted-driving
https://fabsy.com/content/careless-driving-ticket-wetaskiwin	Wetaskiwin	careless-driving
https://fabsy.com/content/seatbelt-ticket-wetaskiwin	Wetaskiwin	seatbelt
https://fabsy.com/content/no-insurance-ticket-wetaskiwin	Wetaskiwin	no-insurance
https://fabsy.com/content/fail-to-yield-ticket-wetaskiwin	Wetaskiwin	fail-to-yield
https://fabsy.com/content/fail-to-stop-ticket-wetaskiwin	Wetaskiwin	fail-to-stop
https://fabsy.com/content/following-too-close-ticket-wetaskiwin	Wetaskiwin	following-too-close
https://fabsy.com/content/stunting-ticket-wetaskiwin	Wetaskiwin	stunting
https://fabsy.com/content/speeding-ticket-camrose	Camrose	speeding
https://fabsy.com/content/red-light-ticket-camrose	Camrose	red-light
https://fabsy.com/content/distracted-driving-ticket-camrose	Camrose	distracted-driving
https://fabsy.com/content/careless-driving-ticket-camrose	Camrose	careless-driving
https://fabsy.com/content/seatbelt-ticket-camrose	Camrose	seatbelt
https://fabsy.com/content/no-insurance-ticket-camrose	Camrose	no-insurance
